
         Dual Mode Scramjet

  N       NA    Nm    cf         Dinj       L
   1221   3     3     0.00300    0.00300    1.220
         Area changes along axis
  xA      theta
  0.000    0.00
  0.390    0.60
  0.990    1.20
         Injections along axis
  xm      psi     y       angle
  0.110   0.50    0.10    80.00
  0.510   0.30    0.40    60.00
  0.810   0.20    0.60    40.00


  x        p           Ma       rho         V          T         F         Tt        Pt          s          a         Ac           A            gamma       mdot       W         G
   0.1290    58763.2   2.9953    0.213920   1820.079    850.55     98.77   2121.56   2619824.6    5016.24   611.502   0.00379918   0.00379999   1.3509848    1.48877   26.0870    -42.52714
   0.1300    58796.2   2.9943    0.213961   1819.846    850.90     98.76   2121.58   2617038.5    5016.52   611.630   0.00379923   0.00379999   1.3509560    1.48877   26.0870    -49.46517
   0.1310    58831.3   2.9933    0.213986   1819.604    851.23     98.75   2121.56   2614301.4    5016.79   611.754   0.00379929   0.00379999   1.3509254    1.48877   26.0870    -51.05610
   0.1320    58861.3   2.9923    0.214011   1819.358    851.58     98.75   2121.53   2611785.2    5017.09   611.875   0.00379905   0.00379999   1.3508958    1.48877   26.0870    -43.86742
   0.1330    58892.1   2.9913    0.214053   1819.124    851.93     98.74   2121.54   2609068.5    5017.40   611.999   0.00379902   0.00379999   1.3508671    1.48877   26.0870    -47.65536
   0.1340    58928.4   2.9903    0.214082   1818.889    852.27     98.73   2121.55   2606268.5    5017.66   612.127   0.00379912   0.00379999   1.3508373    1.48877   26.0870    -49.74092
   0.1350    58959.6   2.9893    0.214104   1818.639    852.61     98.73   2121.51   2603746.8    5017.95   612.247   0.00379896   0.00379999   1.3508069    1.48877   26.0870    -47.19478
   0.1360    58989.1   2.9883    0.214143   1818.402    852.97     98.72   2121.51   2601126.9    5018.27   612.369   0.00379882   0.00379999   1.3507782    1.48877   26.0870    -44.56771
   0.1370    59024.6   2.9873    0.214179   1818.170    853.31     98.71   2121.53   2598324.2    5018.54   612.498   0.00379891   0.00379999   1.3507492    1.48877   26.0870    -48.78987
   0.1380    59057.9   2.9863    0.214201   1817.923    853.64     98.71   2121.49   2595729.4    5018.81   612.620   0.00379887   0.00379999   1.3507184    1.48877   26.0870    -49.79253
   0.1390    59087.1   2.9854    0.214232   1817.681    853.99     98.70   2121.47   2593207.0    5019.13   612.739   0.00379864   0.00379999   1.3506894    1.48877   26.0870    -42.77306
   0.1400    59120.4   2.9843    0.214274   1817.449    854.34     98.69   2121.50   2590455.1    5019.41   612.867   0.00379868   0.00379999   1.3506609    1.48877   26.0870    -47.65101
   0.1410    59155.8   2.9834    0.214299   1817.208    854.67     98.68   2121.48   2587764.4    5019.67   612.991   0.00379874   0.00379999   1.3506305    1.48877   26.0870    -50.50003
   0.1420    59185.7   2.9824    0.214324   1816.960    855.02     98.68   2121.45   2585297.6    5019.97   613.110   0.00379851   0.00379999   1.3506008    1.48877   26.0870    -43.56542
